id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
146957.0,2018-07-12,quinta-feira,07:35:00,SC,282,216.0,LAGES,Restrição de Visibilidade,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-27.797529,-50.291862,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2018
147071.0,2018-07-16,segunda-feira,12:50:00,SC,282,409.3,CATANDUVAS,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Rotatória,Sim,2,0,1,0,1,0,1,2,-27.06997909,-51.66251063,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2018
147076.0,2018-07-16,segunda-feira,18:30:00,SC,282,3.7,FLORIANOPOLIS,Falta de Atenção à Condução,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-27.59506762,-48.60121536,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
147104.0,2018-07-16,segunda-feira,20:30:00,SC,282,379.0,HERVAL DOESTE,Defeito Mecânico no Veículo,Incêndio,Sem Vítimas,Plena Noite,Decrescente,Nublado,Simples,Curva,Não,1,0,0,0,1,0,0,1,-27.21589969,-51.47201478,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2018
147244.0,2018-07-17,terça-feira,18:10:00,SC,282,3.5,FLORIANOPOLIS,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-27.600384,-48.599705,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
147303.0,2018-07-17,terça-feira,21:50:00,SC,282,574.0,PINHALZINHO,Desobediência às normas de trânsito pelo condutor,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,3,0,1,0,2,0,1,2,-26.867399,-52.965149,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2018
147364.0,2018-07-18,quarta-feira,11:10:00,SC,282,5.0,SAO JOSE,Deficiência ou não Acionamento do Sistema de Iluminação/Sinalização do Veículo,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Sol,Múltipla,Declive,Sim,2,0,0,0,2,0,0,2,-27.588425,-48.612919,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
147397.0,2018-07-18,quarta-feira,14:20:00,SC,282,18.3,PALHOCA,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-27.678635,-48.70192,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2018
147607.0,2018-07-19,quinta-feira,13:30:00,SC,282,5.0,SAO JOSE,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,2,0,1,0,2,3,-27.588425,-48.612919,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
147654.0,2018-07-19,quinta-feira,18:23:00,SC,282,1.0,FLORIANOPOLIS,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Aclive;Reta,Sim,2,0,1,0,1,0,1,2,-27.6,-48.577,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
