id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
"666341,0",2025-03-10,segunda-feira,08:46:00,SC,101,"136,0",BALNEARIO CAMBORIU,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-27.01043017,-48.61441428,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,2025
"666342,0",2025-03-10,segunda-feira,10:30:00,SC,101,"214,4",PALHOCA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Interseção de Vias;Viaduto,Sim,2,0,1,0,1,0,1,2,-27.64709122,-48.67267186,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2025
"666352,0",2025-03-10,segunda-feira,10:50:00,SC,470,"147,0",LAURENTINO,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Não,2,0,1,0,1,0,1,2,-27.24255,-49.688687,SPRF-SC,DEL04-SC,UOP02-DEL04-SC,2025
"666373,0",2025-03-10,segunda-feira,14:35:00,SC,101,"148,0",ITAPEMA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,-27.0980787,-48.61857707,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,2025
"666375,0",2025-03-08,sábado,15:20:00,SC,282,"527,0",CORDILHEIRA ALTA,Ausência de reação do condutor,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,4,0,0,4,0,0,4,2,-26.97810081,-52.58812839,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2025
"666430,0",2025-03-10,segunda-feira,17:25:00,SC,280,"128,6",RIO NEGRINHO,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-26.2452,-49.5196,SPRF-SC,DEL06-SC,UOP03-DEL06-SC,2025
"666431,0",2025-03-10,segunda-feira,17:50:00,SC,116,"52,1",PAPANDUVA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,5,0,0,0,5,0,0,2,-26.3903657,-50.1461946,SPRF-SC,DEL06-SC,UOP01-DEL06-SC,2025
"666460,0",2025-03-10,segunda-feira,21:40:00,SC,101,"206,3",SAO JOSE,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-27.59605838,-48.61928701,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2025
"666464,0",2025-03-10,segunda-feira,19:30:00,SC,280,"6,1",SAO FRANCISCO DO SUL,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-26.26662355,-48.63489747,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,2025
"666474,0",2025-03-10,segunda-feira,18:50:00,SC,280,"51,6",GUARAMIRIM,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Em Obras;Reta,Não,1,0,0,1,0,0,1,1,-26.464697,-48.953706,SPRF-SC,DEL03-SC,UOP03-DEL03-SC,2025
"666475,0",2025-03-11,terça-feira,00:30:00,SC,101,"57,0",ARAQUARI,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,2,0,2,0,0,0,2,1,-26.32317657,-48.72361958,SPRF-SC,DEL03-SC,UOP01-DEL03-SC,2025
